,e1,e2,time
622,SH600143,SH600500,2018-10-01
623,SH600143,SH600352,2018-10-01
624,SH600143,SH600160,2018-10-01
625,SH600143,SH600299,2018-10-01
626,SH600143,SH600596,2018-10-01
627,SH600143,SH600309,2018-10-01
628,SH600143,SH600426,2018-10-01
629,SH600143,SH600989,2018-10-01
630,SH600143,SZ000822,2018-10-01
631,SH600143,SZ002601,2018-10-01
632,SH600143,SH601216,2018-10-01
633,SH600143,SZ002092,2018-10-01
634,SH600143,SH600277,2018-10-01
635,SH600143,SZ000553,2018-10-01
636,SH600143,SZ000408,2018-10-01
637,SH600143,SZ000792,2018-10-01
638,SH600143,SZ002470,2018-10-01
639,SH600143,SH600078,2018-10-01
640,SH600143,SH600096,2018-10-01
641,SH600143,SZ000912,2018-10-01
642,SH600150,SZ002025,2018-10-01
643,SH600150,SZ002179,2018-10-01
644,SH600150,SZ002465,2018-10-01
645,SH600150,SH601698,2018-10-01
646,SH600150,SH600118,2018-10-01
647,SH600150,SH600879,2018-10-01
648,SH600150,SZ000768,2018-10-01
649,SH600150,SH600038,2018-10-01
650,SH600150,SH600760,2018-10-01
651,SH600150,SH600372,2018-10-01
652,SH600150,SH600316,2018-10-01
653,SH600150,SZ002625,2018-10-01
654,SH600150,SH600893,2018-10-01
655,SH600151,SH601877,2018-10-01
656,SH600151,SZ002498,2018-10-01
657,SH600151,SH600089,2018-10-01
658,SH600151,SZ002028,2018-10-01
659,SH600151,SH601179,2018-10-01
660,SH600151,SH600550,2018-10-01
661,SH600151,SH600517,2018-10-01
662,SH600151,SH600312,2018-10-01
663,SH600151,SH600406,2018-10-01
664,SH600151,SZ000682,2018-10-01
665,SH600151,SZ000400,2018-10-01
666,SH600151,SH601727,2018-10-01
667,SH600151,SH600875,2018-10-01
668,SH600151,SZ002202,2018-10-01
669,SH600151,SZ002074,2018-10-01
670,SH600151,SZ000009,2018-10-01
671,SH600151,SH600884,2018-10-01
672,SH600153,SZ000520,2018-10-01
673,SH600153,SH600428,2018-10-01
674,SH600153,SH601919,2018-10-01
675,SH600153,SH601872,2018-10-01
676,SH600153,SH601866,2018-10-01
677,SH600153,SH600026,2018-10-01
678,SH600153,SZ000099,2018-10-01
679,SH600153,SH600029,2018-10-01
680,SH600153,SH603885,2018-10-01
681,SH600153,SH601111,2018-10-01
682,SH600153,SH600221,2018-10-01
683,SH600153,SH601021,2018-10-01
684,SH600153,SH600115,2018-10-01
685,SH600153,SH600004,2018-10-01
686,SH600153,SZ000089,2018-10-01
687,SH600153,SH600009,2018-10-01
688,SH600153,SH600611,2018-10-01
689,SH600153,SH600834,2018-10-01
690,SH600153,SH600269,2018-10-01
691,SH600153,SH600350,2018-10-01
692,SH600153,SZ000755,2018-10-01
693,SH600153,SH600020,2018-10-01
694,SH600153,SZ000088,2018-10-01
695,SH600153,SH601107,2018-10-01
696,SH600153,SH600377,2018-10-01
697,SH600153,SZ000900,2018-10-01
698,SH600153,SH600548,2018-10-01
699,SH600153,SH600033,2018-10-01
700,SH600153,SZ000828,2018-10-01
701,SH600153,SZ001965,2018-10-01
702,SH600153,SH600035,2018-10-01
703,SH600153,SH601333,2018-10-01
704,SH600153,SH601006,2018-10-01
705,SH600160,SH603260,2018-10-01
706,SH600160,SH600426,2018-10-01
707,SH600160,SH600989,2018-10-01
708,SH600160,SZ000822,2018-10-01
709,SH600160,SZ002601,2018-10-01
710,SH600160,SH601216,2018-10-01
711,SH600160,SZ002092,2018-10-01
712,SH600160,SH600277,2018-10-01
713,SH600160,SZ000553,2018-10-01
714,SH600160,SZ000408,2018-10-01
715,SH600160,SZ000792,2018-10-01
716,SH600160,SZ002470,2018-10-01
717,SH600160,SH600078,2018-10-01
718,SH600160,SH600096,2018-10-01
